"","x"
"4882","ELMO1"
"4883","ELMO2"
"4884","ELMO3"
"4885","ELMOD1"
"4886","ELMOD2"
"4887","ELMOD3"
"4888","ELMSAN1"
"4889","ELN"
"4890","ELOA"
"4891","ELOA2"
"4892","ELOA3"
"4893","ELOA3B"
"4894","ELOA3C"
"4895","ELOA3D"
"4896","ELOB"
"4897","ELOC"
"4898","ELOF1"
"4899","ELOVL1"
"4900","ELOVL2"
"4901","ELOVL3"
"4902","ELOVL4"
"4903","ELOVL5"
"4904","ELOVL6"
"4905","ELOVL7"
"4906","ELP1"
"4907","ELP2"
"4908","ELP3"
"4909","ELP4"
"4910","ELP5"
"4911","ELP6"
"4912","EMB"
"4913","EMC1"
"4914","EMC10"
"4915","EMC2"
"4916","EMC3"
"4917","EMC4"
"4918","EMC6"
"4919","EMC7"
"4920","EMC8"
"4921","EMC9"
"4922","EMCN"
"4923","EMD"
"4924","EME1"
"4925","EME2"
"4926","EMG1"
"4927","EMID1"
"4928","EMILIN1"
"4929","EMILIN2"
"4930","EMILIN3"
"4931","EML1"
"4932","EML2"
"4933","EML3"
"4934","EML4"
"4935","EML6"
"4936","EMP1"
"4937","EMP2"
"4938","EMP3"
"4939","EMSY"
"4940","EMX1"
"4941","EMX2"
"4942","EN1"
"4943","EN2"
"4944","ENAH"
"4945","ENAM"
"4946","ENC1"
"4947","ENDOD1"
"4948","ENDOG"
"4949","ENDOU"
"4950","ENDOV"
"4951","ENG"
"4952","ENGASE"
"4953","ENHO"
"4954","ENKD1"
"4955","ENKUR"
"4956","ENO1"
"4957","ENO2"
"4958","ENO3"
"4959","ENO4"
"4960","ENOPH1"
"4961","ENOSF1"
"4962","ENOX1"
"4963","ENOX2"
"4964","ENPEP"
"4965","ENPP1"
"4966","ENPP2"
"4967","ENPP3"
"4968","ENPP4"
"4969","ENPP5"
"4970","ENPP6"
"4971","ENPP7"
"4972","ENSA"
"4973","ENTHD1"
"4974","ENTPD1"
"4975","ENTPD2"
"4976","ENTPD3"
"4977","ENTPD4"
"4978","ENTPD5"
"4979","ENTPD6"
"4980","ENTPD7"
"4981","ENTPD8"
"4982","ENTR1"
"4983","ENY2"
"4984","EOGT"
"4985","EOMES"
"4986","EP300"
"4987","EP400"
"4988","EPAS1"
"4989","EPB41"
"4990","EPB41L1"
"4991","EPB41L2"
"4992","EPB41L3"
"4993","EPB41L4A"
"4994","EPB41L4B"
"4995","EPB41L5"
"4996","EPB42"
"4997","EPC1"
"4998","EPC2"
"4999","EPCAM"
"5000","EPDR1"
"5001","EPG5"
"5002","EPGN"
"5003","EPHA1"
"5004","EPHA10"
"5005","EPHA2"
"5006","EPHA3"
"5007","EPHA4"
"5008","EPHA5"
"5009","EPHA6"
"5010","EPHA7"
"5011","EPHA8"
"5012","EPHB1"
"5013","EPHB2"
"5014","EPHB3"
"5015","EPHB4"
"5016","EPHB6"
"5017","EPHX1"
"5018","EPHX2"
"5019","EPHX3"
"5020","EPHX4"
"5021","EPM2A"
"5022","EPM2AIP1"
"5023","EPN1"
"5024","EPN2"
"5025","EPN3"
"5026","EPO"
"5027","EPOP"
"5028","EPOR"
"5029","EPPIN"
"5030","EPPIN-WFDC6"
"5031","EPPK1"
"5032","EPRS"
"5033","EPS15"
"5034","EPS15L1"
"5035","EPS8"
"5036","EPS8L1"
"5037","EPS8L2"
"5038","EPS8L3"
"5039","EPSTI1"
"5040","EPX"
"5041","EPYC"
"5042","EQTN"
"5043","ERAL1"
"5044","ERAP1"
"5045","ERAP2"
"5046","ERAS"
"5047","ERBB2"
"5048","ERBB3"
"5049","ERBB4"
"5050","ERBIN"
"5051","ERC1"
"5052","ERC2"
"5053","ERCC1"
"5054","ERCC2"
"5055","ERCC3"
"5056","ERCC4"
"5057","ERCC5"
"5058","ERCC6"
"5059","ERCC6L"
"5060","ERCC6L2"
"5061","ERCC8"
"5062","EREG"
"5063","ERF"
"5064","ERFE"
"5065","ERG"
"5066","ERG28"
"5067","ERGIC1"
"5068","ERGIC2"
"5069","ERGIC3"
"5070","ERH"
"5071","ERI1"
"5072","ERI2"
"5073","ERI3"
"5074","ERICH1"
"5075","ERICH2"
"5076","ERICH3"
"5077","ERICH4"
"5078","ERICH5"
"5079","ERICH6"
"5080","ERICH6B"
"5081","ERLEC1"
"5082","ERLIN1"
"5083","ERLIN2"
"5084","ERMAP"
"5085","ERMARD"
"5086","ERMN"
"5087","ERMP1"
"5088","ERN1"
"5089","ERN2"
"5090","ERO1A"
"5091","ERO1B"
"5092","ERP27"
"5093","ERP29"
"5094","ERP44"
"5095","ERRFI1"
"5096","ERV3-1"
"5097","ERVFRD-1"
"5098","ERVK3-1"
"5099","ERVMER34-1"
"5100","ERVV-1"
"5101","ERVV-2"
"5102","ERVW-1"
"5103","ESAM"
"5104","ESCO1"
"5105","ESCO2"
"5106","ESD"
"5107","ESF1"
"5108","ESM1"
"5109","ESPL1"
"5110","ESPN"
"5111","ESPNL"
"5112","ESR1"
"5113","ESR2"
"5114","ESRP1"
"5115","ESRP2"
"5116","ESRRA"
"5117","ESRRB"
"5118","ESRRG"
"5119","ESS2"
"5120","ESX1"
"5121","ESYT1"
"5122","ESYT2"
"5123","ESYT3"
"5124","ETAA1"
"5125","ETDA"
"5126","ETDB"
"5127","ETDC"
"5128","ETF1"
"5129","ETFA"
"5130","ETFB"
"5131","ETFBKMT"
"5132","ETFDH"
"5133","ETFRF1"
"5134","ETHE1"
"5135","ETNK1"
"5136","ETNK2"
"5137","ETNPPL"
"5138","ETS1"
"5139","ETS2"
"5140","ETV1"
"5141","ETV2"
"5142","ETV3"
"5143","ETV3L"
"5144","ETV4"
"5145","ETV5"
"5146","ETV6"
"5147","ETV7"
"5148","EVA1A"
"5149","EVA1B"
"5150","EVA1C"
"5151","EVC"
"5152","EVC2"
"5153","EVI2A"
"5154","EVI2B"
"5155","EVI5"
"5156","EVI5L"
"5157","EVL"
"5158","EVPL"
"5159","EVPLL"
"5160","EVX1"
"5161","EVX2"
"5162","EWSR1"
"5163","EXD1"
"5164","EXD2"
"5165","EXD3"
"5166","EXO1"
"5167","EXO5"
"5168","EXOC1"
"5169","EXOC1L"
"5170","EXOC2"
"5171","EXOC3"
"5172","EXOC3L1"
"5173","EXOC3L2"
"5174","EXOC3L4"
"5175","EXOC4"
"5176","EXOC5"
"5177","EXOC6"
"5178","EXOC6B"
"5179","EXOC7"
"5180","EXOC8"
"5181","EXOG"
"5182","EXOSC1"
"5183","EXOSC10"
"5184","EXOSC2"
"5185","EXOSC3"
"5186","EXOSC4"
"5187","EXOSC5"
"5188","EXOSC6"
"5189","EXOSC7"
"5190","EXOSC8"
"5191","EXOSC9"
"5192","EXPH5"
"5193","EXT1"
"5194","EXT2"
"5195","EXTL1"
"5196","EXTL2"
"5197","EXTL3"
"5198","EYA1"
"5199","EYA2"
"5200","EYA3"
"5201","EYA4"
"5202","EYS"
"5203","EZH1"
"5204","EZH2"
"5205","EZR"
"5206","F10"
"5207","F11"
"5208","F11R"
"5209","F12"
"5210","F13A1"
"5211","F13B"
"5212","F2"
"5213","F2R"
"5214","F2RL1"
"5215","F2RL2"
"5216","F2RL3"
"5217","F3"
"5218","F5"
"5219","F7"
"5220","F8"
"5221","F8A1"
"5222","F8A2"
"5223","F8A3"
"5224","F9"
"5225","FA2H"
"5226","FAAH"
"5227","FAAH2"
"5228","FAAP100"
"5229","FAAP20"
"5230","FAAP24"
"5231","FABP1"
"5232","FABP12"
"5233","FABP2"
"5234","FABP3"
"5235","FABP4"
"5236","FABP5"
"5237","FABP6"
"5238","FABP7"
"5239","FABP9"
"5240","FADD"
"5241","FADS1"
"5242","FADS2"
"5243","FADS3"
"5244","FAF1"
"5245","FAF2"
"5246","FAH"
"5247","FAHD1"
"5248","FAHD2A"
"5249","FAHD2B"
"5250","FAIM"
"5251","FAIM2"
"5252","FAM102A"
"5253","FAM102B"
"5254","FAM104A"
"5255","FAM104B"
"5256","FAM107A"
"5257","FAM107B"
"5258","FAM110A"
"5259","FAM110B"
"5260","FAM110C"
"5261","FAM110D"
"5262","FAM111A"
"5263","FAM111B"
"5264","FAM114A1"
"5265","FAM114A2"
"5266","FAM117A"
"5267","FAM117B"
"5268","FAM118A"
"5269","FAM118B"
"5270","FAM120A"
"5271","FAM120AOS"
"5272","FAM120B"
"5273","FAM120C"
"5274","FAM122A"
"5275","FAM122B"
"5276","FAM122C"
"5277","FAM124A"
"5278","FAM124B"
"5279","FAM126A"
"5280","FAM126B"
"5281","FAM129A"
"5282","FAM129B"
"5283","FAM129C"
"5284","FAM131A"
"5285","FAM131B"
"5286","FAM131C"
"5287","FAM133A"
"5288","FAM133B"
"5289","FAM135A"
"5290","FAM135B"
"5291","FAM136A"
"5292","FAM13A"
"5293","FAM13B"
"5294","FAM13C"
"5295","FAM149A"
"5296","FAM149B1"
"5297","FAM151A"
"5298","FAM151B"
"5299","FAM153A"
"5300","FAM153B"
"5301","FAM155A"
"5302","FAM155B"
"5303","FAM156A"
"5304","FAM156B"
"5305","FAM160A1"
"5306","FAM160A2"
"5307","FAM160B1"
"5308","FAM160B2"
"5309","FAM161A"
"5310","FAM161B"
"5311","FAM162A"
"5312","FAM162B"
"5313","FAM163A"
"5314","FAM163B"
"5315","FAM166A"
"5316","FAM166B"
"5317","FAM167A"
"5318","FAM167B"
"5319","FAM168A"
"5320","FAM168B"
"5321","FAM169A"
"5322","FAM169B"
"5323","FAM170A"
"5324","FAM170B"
"5325","FAM171A1"
"5326","FAM171A2"
"5327","FAM171B"
"5328","FAM172A"
"5329","FAM173A"
"5330","FAM174A"
"5331","FAM174B"
"5332","FAM177A1"
"5333","FAM177B"
"5334","FAM178B"
"5335","FAM180A"
"5336","FAM180B"
"5337","FAM181A"
"5338","FAM181B"
"5339","FAM183A"
"5340","FAM184A"
"5341","FAM184B"
"5342","FAM185A"
"5343","FAM186A"
"5344","FAM186B"
"5345","FAM187A"
"5346","FAM187B"
"5347","FAM189A1"
"5348","FAM189A2"
"5349","FAM189B"
"5350","FAM192A"
"5351","FAM193A"
"5352","FAM193B"
"5353","FAM199X"
"5354","FAM200A"
"5355","FAM200B"
"5356","FAM204A"
"5357","FAM205A"
"5358","FAM205C"
"5359","FAM207A"
"5360","FAM209A"
"5361","FAM209B"
"5362","FAM20A"
"5363","FAM20B"
"5364","FAM20C"
"5365","FAM210A"
"5366","FAM210B"
"5367","FAM214A"
"5368","FAM214B"
"5369","FAM216A"
"5370","FAM216B"
"5371","FAM217A"
"5372","FAM217B"
"5373","FAM218A"
"5374","FAM219A"
"5375","FAM219B"
"5376","FAM220A"
"5377","FAM221A"
"5378","FAM221B"
"5379","FAM222A"
"5380","FAM222B"
"5381","FAM227A"
"5382","FAM227B"
"5383","FAM228A"
"5384","FAM228B"
"5385","FAM229A"
"5386","FAM229B"
"5387","FAM234A"
"5388","FAM234B"
"5389","FAM236A"
"5390","FAM236B"
"5391","FAM236C"
"5392","FAM236D"
"5393","FAM237A"
"5394","FAM237B"
"5395","FAM240A"
"5396","FAM240B"
"5397","FAM241A"
"5398","FAM241B"
"5399","FAM243A"
"5400","FAM243B"
"5401","FAM24A"
"5402","FAM24B"
"5403","FAM25A"
"5404","FAM25C"
"5405","FAM25G"
"5406","FAM32A"
"5407","FAM3A"
"5408","FAM3B"
"5409","FAM3C"
"5410","FAM3D"
"5411","FAM43A"
"5412","FAM43B"
"5413","FAM45A"
"5414","FAM47A"
"5415","FAM47B"
"5416","FAM47C"
"5417","FAM47E"
"5418","FAM47E-STBD1"
"5419","FAM49A"
"5420","FAM49B"
"5421","FAM50A"
"5422","FAM50B"
"5423","FAM53A"
"5424","FAM53B"
"5425","FAM53C"
"5426","FAM57A"
"5427","FAM57B"
"5428","FAM71A"
"5429","FAM71B"
"5430","FAM71C"
"5431","FAM71D"
"5432","FAM71E2"
"5433","FAM71F1"
"5434","FAM71F2"
"5435","FAM72A"
"5436","FAM72B"
"5437","FAM72C"
"5438","FAM72D"
"5439","FAM76A"
"5440","FAM76B"
"5441","FAM78A"
"5442","FAM78B"
"5443","FAM81A"
"5444","FAM81B"
"5445","FAM83A"
"5446","FAM83B"
"5447","FAM83C"
"5448","FAM83D"
"5449","FAM83E"
"5450","FAM83F"
"5451","FAM83G"
"5452","FAM83H"
"5453","FAM86B1"
"5454","FAM86B2"
"5455","FAM86C1"
"5456","FAM89A"
"5457","FAM89B"
"5458","FAM8A1"
"5459","FAM90A1"
"5460","FAM90A26"
"5461","FAM91A1"
"5462","FAM92A"
"5463","FAM92B"
"5464","FAM98A"
"5465","FAM98B"
"5466","FAM98C"
"5467","FAM9A"
"5468","FAM9B"
"5469","FAM9C"
"5470","FAN1"
"5471","FANCA"
"5472","FANCB"
"5473","FANCC"
"5474","FANCD2"
"5475","FANCD2OS"
"5476","FANCE"
"5477","FANCF"
"5478","FANCG"
"5479","FANCI"
"5480","FANCL"
"5481","FANCM"
"5482","FANK1"
"5483","FAP"
"5484","FAR1"
"5485","FAR2"
"5486","FARP1"
"5487","FARP2"
"5488","FARS2"
"5489","FARSA"
"5490","FARSB"
"5491","FAS"
"5492","FASLG"
"5493","FASN"
"5494","FASTK"
"5495","FASTKD1"
"5496","FASTKD2"
"5497","FASTKD3"
"5498","FASTKD5"
"5499","FAT1"
"5500","FAT2"
"5501","FAT3"
"5502","FAT4"
"5503","FATE1"
"5504","FAU"
"5505","FAXC"
"5506","FAXDC2"
"5507","FBF1"
"5508","FBH1"
"5509","FBL"
"5510","FBLIM1"
"5511","FBLL1"
"5512","FBLN1"
"5513","FBLN2"
"5514","FBLN5"
"5515","FBLN7"
"5516","FBN2"
"5517","FBN3"
"5518","FBP1"
"5519","FBP2"
"5520","FBRS"
"5521","FBRSL1"
"5522","FBXL12"
"5523","FBXL13"
"5524","FBXL14"
"5525","FBXL15"
"5526","FBXL16"
"5527","FBXL17"
"5528","FBXL18"
"5529","FBXL19"
"5530","FBXL2"
"5531","FBXL20"
"5532","FBXL22"
"5533","FBXL3"
"5534","FBXL4"
"5535","FBXL5"
"5536","FBXL6"
"5537","FBXL7"
"5538","FBXL8"
"5539","FBXO10"
"5540","FBXO11"
"5541","FBXO15"
"5542","FBXO16"
"5543","FBXO17"
"5544","FBXO2"
"5545","FBXO21"
"5546","FBXO22"
"5547","FBXO24"
"5548","FBXO25"
"5549","FBXO28"
"5550","FBXO3"
"5551","FBXO30"
"5552","FBXO31"
"5553","FBXO32"
"5554","FBXO33"
"5555","FBXO34"
"5556","FBXO36"
"5557","FBXO38"
"5558","FBXO39"
"5559","FBXO4"
"5560","FBXO40"
"5561","FBXO41"
"5562","FBXO42"
"5563","FBXO43"
"5564","FBXO44"
"5565","FBXO45"
"5566","FBXO46"
"5567","FBXO47"
"5568","FBXO48"
"5569","FBXO5"
"5570","FBXO6"
"5571","FBXO7"
"5572","FBXO8"
"5573","FBXO9"
"5574","FBXW10"
"5575","FBXW11"
"5576","FBXW12"
"5577","FBXW2"
"5578","FBXW4"
"5579","FBXW5"
"5580","FBXW7"
"5581","FBXW8"
"5582","FBXW9"
"5583","FCAMR"
"5584","FCAR"
"5585","FCER1A"
"5586","FCER1G"
"5587","FCER2"
"5588","FCF1"
"5589","FCGBP"
"5590","FCGR1A"
"5591","FCGR1B"
"5592","FCGR2A"
"5593","FCGR2B"
"5594","FCGR2C"
"5595","FCGR3A"
"5596","FCGR3B"
"5597","FCGRT"
"5598","FCHO1"
"5599","FCHO2"
"5600","FCHSD1"
"5601","FCHSD2"
"5602","FCMR"
"5603","FCN1"
"5604","FCN2"
"5605","FCN3"
"5606","FCRL1"
"5607","FCRL2"
"5608","FCRL3"
"5609","FCRL4"
"5610","FCRL5"
"5611","FCRL6"
"5612","FCRLA"
"5613","FCRLB"
"5614","FDCSP"
"5615","FDFT1"
"5616","FDPS"
"5617","FDX1"
"5618","FDX2"
"5619","FDXACB1"
"5620","FDXR"
"5621","FECH"
"5622","FEM1A"
"5623","FEM1B"
"5624","FEM1C"
"5625","FEN1"
"5626","FER"
"5627","FER1L5"
"5628","FER1L6"
"5629","FERD3L"
"5630","FERMT1"
"5631","FERMT2"
"5632","FERMT3"
"5633","FES"
"5634","FETUB"
"5635","FEV"
"5636","FEZ1"
"5637","FEZ2"
"5638","FEZF1"
"5639","FEZF2"
"5640","FFAR1"
"5641","FFAR2"
"5642","FFAR3"
"5643","FFAR4"
"5644","FGA"
"5645","FGB"
"5646","FGD1"
"5647","FGD2"
"5648","FGD3"
"5649","FGD4"
"5650","FGD5"
"5651","FGD6"
"5652","FGF1"
"5653","FGF10"
"5654","FGF11"
"5655","FGF12"
"5656","FGF13"
"5657","FGF14"
"5658","FGF16"
"5659","FGF17"
"5660","FGF18"
"5661","FGF19"
"5662","FGF2"
"5663","FGF20"
"5664","FGF21"
"5665","FGF22"
"5666","FGF23"
"5667","FGF3"
"5668","FGF4"
"5669","FGF5"
"5670","FGF6"
"5671","FGF7"
"5672","FGF8"
"5673","FGF9"
"5674","FGFBP1"
"5675","FGFBP2"
"5676","FGFBP3"
"5677","FGFR1"
"5678","FGFR1OP"
"5679","FGFR1OP2"
"5680","FGFR2"
"5681","FGFR3"
"5682","FGFR4"
"5683","FGFRL1"
"5684","FGG"
"5685","FGGY"
"5686","FGL1"
"5687","FGL2"
"5688","FGR"
"5689","FH"
"5690","FHAD1"
"5691","FHDC1"
"5692","FHIT"
"5693","FHL1"
"5694","FHL2"
"5695","FHL3"
"5696","FHL5"
"5697","FHOD1"
"5698","FHOD3"
"5699","FIBCD1"
"5700","FIBIN"
"5701","FIBP"
"5702","FICD"
"5703","FIG4"
"5704","FIGLA"
"5705","FIGN"
"5706","FIGNL1"
"5707","FIGNL2"
"5708","FILIP1"
"5709","FILIP1L"
"5710","FIP1L1"
"5711","FIS1"
"5712","FITM1"
"5713","FITM2"
"5714","FIZ1"
"5715","FJX1"
"5716","FKBP10"
"5717","FKBP11"
"5718","FKBP14"
"5719","FKBP15"
"5720","FKBP1A"
"5721","FKBP1B"
"5722","FKBP1C"
"5723","FKBP2"
"5724","FKBP3"
"5725","FKBP4"
"5726","FKBP5"
"5727","FKBP6"
"5728","FKBP7"
"5729","FKBP8"
"5730","FKBP9"
"5731","FKBPL"
"5732","FKRP"
"5733","FKTN"
"5734","FLAD1"
"5735","FLCN"
"5736","FLG"
"5737","FLG2"
"5738","FLI1"
"5739","FLII"
"5740","FLNA"
"5741","FLNB"
"5742","FLNC"
"5743","FLOT1"
"5744","FLOT2"
"5745","FLRT1"
"5746","FLRT2"
"5747","FLRT3"
"5748","FLT1"
"5749","FLT3"
"5750","FLT3LG"
"5751","FLT4"
"5752","FLVCR1"
"5753","FLVCR2"
"5754","FLYWCH1"
"5755","FLYWCH2"
"5756","FMC1"
"5757","FMN1"
"5758","FMN2"
"5759","FMNL1"
"5760","FMNL2"
"5761","FMNL3"
"5762","FMO1"
"5763","FMO2"
"5764","FMO3"
"5765","FMO4"
"5766","FMO5"
"5767","FMOD"
"5768","FMR1"
"5769","FMR1NB"
"5770","FN1"
"5771","FN3K"
"5772","FN3KRP"
"5773","FNBP1"
"5774","FNBP1L"
"5775","FNBP4"
"5776","FNDC1"
"5777","FNDC10"
"5778","FNDC11"
"5779","FNDC3A"
"5780","FNDC3B"
"5781","FNDC4"
"5782","FNDC5"
"5783","FNDC7"
"5784","FNDC8"
"5785","FNDC9"
"5786","FNIP1"
"5787","FNIP2"
"5788","FNTA"
"5789","FNTB"
"5790","FOCAD"
"5791","FOLH1"
"5792","FOLR1"
"5793","FOLR2"
"5794","FOLR3"
"5795","FOPNL"
"5796","FOS"
"5797","FOSB"
"5798","FOSL1"
"5799","FOSL2"
"5800","FOXA1"
"5801","FOXA2"
"5802","FOXA3"
"5803","FOXB1"
"5804","FOXB2"
"5805","FOXC1"
"5806","FOXC2"
"5807","FOXD1"
"5808","FOXD2"
"5809","FOXD3"
"5810","FOXD4"
"5811","FOXD4L1"
"5812","FOXD4L3"
"5813","FOXD4L4"
"5814","FOXD4L5"
"5815","FOXD4L6"
"5816","FOXE1"
"5817","FOXE3"
"5818","FOXF1"
"5819","FOXF2"
"5820","FOXG1"
"5821","FOXH1"
"5822","FOXI1"
"5823","FOXI2"
"5824","FOXI3"
"5825","FOXJ1"
"5826","FOXJ2"
"5827","FOXJ3"
"5828","FOXK1"
"5829","FOXK2"
"5830","FOXL1"
"5831","FOXL2"
"5832","FOXL2NB"
"5833","FOXM1"
"5834","FOXN1"
"5835","FOXN2"
"5836","FOXN3"
"5837","FOXN4"
"5838","FOXO1"
"5839","FOXO3"
"5840","FOXO4"
"5841","FOXO6"
"5842","FOXP1"
"5843","FOXP2"
"5844","FOXP3"
"5845","FOXP4"
"5846","FOXQ1"
"5847","FOXR1"
"5848","FOXR2"
"5849","FOXRED1"
"5850","FOXRED2"
"5851","FOXS1"
"5852","FPGS"
"5853","FPGT"
"5854","FPGT-TNNI3K"
"5855","FPR1"
"5856","FPR2"
"5857","FPR3"
"5858","FRA10AC1"
"5859","FRAS1"
"5860","FRAT1"
"5861","FRAT2"
"5862","FREM1"
"5863","FREM2"
"5864","FREM3"
"5865","FRG1"
"5866","FRG2"
"5867","FRG2B"
"5868","FRG2C"
"5869","FRK"
"5870","FRMD1"
"5871","FRMD3"
"5872","FRMD4A"
"5873","FRMD4B"
"5874","FRMD5"
"5875","FRMD6"
"5876","FRMD7"
"5877","FRMD8"
"5878","FRMPD1"
"5879","FRMPD2"
"5880","FRMPD3"
"5881","FRMPD4"
"5882","FRRS1"
"5883","FRRS1L"
"5884","FRS2"
"5885","FRS3"
"5886","FRY"
"5887","FRYL"
"5888","FRZB"
"5889","FSBP"
"5890","FSCB"
"5891","FSCN1"
"5892","FSCN2"
"5893","FSCN3"
"5894","FSD1"
"5895","FSD1L"
"5896","FSD2"
"5897","FSHB"
"5898","FSHR"
"5899","FSIP1"
"5900","FSIP2"
"5901","FST"
"5902","FSTL1"
"5903","FSTL3"
"5904","FSTL4"
"5905","FSTL5"
"5906","FTCD"
"5907","FTCDNL1"
"5908","FTH1"
"5909","FTHL17"
"5910","FTL"
"5911","FTMT"
"5912","FTO"
"5913","FTSJ1"
"5914","FTSJ3"
"5915","FUBP1"
"5916","FUBP3"
"5917","FUCA1"
"5918","FUCA2"
"5919","FUNDC1"
"5920","FUNDC2"
"5921","FUOM"
"5922","FURIN"
"5923","FUS"
"5924","FUT1"
"5925","FUT10"
"5926","FUT11"
"5927","FUT2"
"5928","FUT3"
"5929","FUT4"
"5930","FUT5"
"5931","FUT6"
"5932","FUT7"
"5933","FUT8"
"5934","FUT9"
"5935","FUZ"
"5936","FXN"
"5937","FXR1"
"5938","FXR2"
"5939","FXYD1"
"5940","FXYD2"
"5941","FXYD3"
"5942","FXYD4"
"5943","FXYD5"
"5944","FXYD6"
"5945","FXYD6-FXYD2"
"5946","FXYD7"
"5947","FYB1"
"5948","FYB2"
"5949","FYCO1"
"5950","FYN"
"5951","FYTTD1"
"5952","FZD1"
"5953","FZD10"
"5954","FZD2"
"5955","FZD3"
"5956","FZD4"
"5957","FZD5"
"5958","FZD6"
"5959","FZD7"
"5960","FZD8"
"5961","FZD9"
"5962","FZR1"
"5963","G0S2"
"5964","G2E3"
"5965","G3BP1"
"5966","G3BP2"
"5967","G6PC"
"5968","G6PC2"
"5969","G6PC3"
"5970","G6PD"
"5971","GAA"
"5972","GAB1"
"5973","GAB2"
"5974","GAB3"
"5975","GAB4"
"5976","GABARAP"
"5977","GABARAPL1"
"5978","GABARAPL2"
"5979","GABBR1"
"5980","GABBR2"
"5981","GABPA"
"5982","GABPB1"
"5983","GABPB2"
"5984","GABRA1"
"5985","GABRA2"
"5986","GABRA3"
"5987","GABRA4"
"5988","GABRA5"
"5989","GABRA6"
"5990","GABRB1"
"5991","GABRB2"
"5992","GABRB3"
"5993","GABRD"
"5994","GABRE"
"5995","GABRG1"
"5996","GABRG2"
"5997","GABRG3"
"5998","GABRP"
"5999","GABRQ"
"6000","GABRR1"
"6001","GABRR2"
"6002","GABRR3"
"6003","GAD1"
"6004","GAD2"
"6005","GADD45A"
"6006","GADD45B"
"6007","GADD45G"
"6008","GADD45GIP1"
"6009","GADL1"
"6010","GAGE1"
"6011","GAGE10"
"6012","GAGE12B"
"6013","GAGE12C"
"6014","GAGE12E"
"6015","GAGE12F"
"6016","GAGE12H"
"6017","GAGE12J"
"6018","GAGE13"
"6019","GAGE2A"
"6020","GAGE2E"
"6021","GAK"
"6022","GAL"
"6023","GAL3ST1"
"6024","GAL3ST2"
"6025","GAL3ST3"
"6026","GAL3ST4"
"6027","GALC"
"6028","GALE"
"6029","GALK1"
"6030","GALK2"
"6031","GALM"
"6032","GALNS"
"6033","GALNT1"
"6034","GALNT10"
"6035","GALNT11"
"6036","GALNT12"
"6037","GALNT13"
"6038","GALNT14"
"6039","GALNT15"
"6040","GALNT16"
"6041","GALNT17"
"6042","GALNT18"
"6043","GALNT2"
"6044","GALNT3"
"6045","GALNT4"
"6046","GALNT5"
"6047","GALNT6"
"6048","GALNT7"
"6049","GALNT8"
"6050","GALNT9"
"6051","GALNTL5"
"6052","GALNTL6"
"6053","GALP"
"6054","GALR1"
"6055","GALR2"
"6056","GALR3"
"6057","GALT"
"6058","GAMT"
"6059","GAN"
"6060","GANAB"
"6061","GANC"
"6062","GAP43"
"6063","GAPDH"
"6064","GAPDHS"
"6065","GAPT"
"6066","GAPVD1"
"6067","GAR1"
"6068","GAREM1"
"6069","GAREM2"
"6070","GARNL3"
"6071","GARS"
"6072","GART"
"6073","GAS1"
"6074","GAS2"
"6075","GAS2L1"
"6076","GAS2L2"
"6077","GAS2L3"
"6078","GAS6"
"6079","GAS8"
"6080","GAST"
"6081","GATA1"
"6082","GATA2"
"6083","GATA3"
"6084","GATA4"
"6085","GATA5"
"6086","GATA6"
"6087","GATAD1"
"6088","GATAD2A"
"6089","GATAD2B"
"6090","GATB"
"6091","GATC"
"6092","GATD1"
"6093","GATD3A"
"6094","GATD3B"
"6095","GATM"
"6096","GBA"
"6097","GBA2"
"6098","GBA3"
"6099","GBE1"
"6100","GBF1"
"6101","GBGT1"
"6102","GBP1"
"6103","GBP2"
"6104","GBP3"
"6105","GBP4"
"6106","GBP5"
"6107","GBP6"
"6108","GBP7"
"6109","GBX1"
"6110","GBX2"
"6111","GC"
"6112","GCA"
"6113","GCAT"
"6114","GCC1"
"6115","GCC2"
"6116","GCDH"
"6117","GCFC2"
"6118","GCG"
"6119","GCGR"
"6120","GCH1"
"6121","GCHFR"
"6122","GCK"
"6123","GCKR"
"6124","GCLC"
"6125","GCLM"
"6126","GCM1"
"6127","GCM2"
"6128","GCN1"
"6129","GCNA"
"6130","GCNT1"
"6131","GCNT2"
"6132","GCNT3"
"6133","GCNT4"
"6134","GCNT7"
"6135","GCOM1"
"6136","GCSAM"
"6137","GCSAML"
"6138","GCSAML-AS1"
"6139","GCSH"
"6140","GDA"
"6141","GDAP1"
"6142","GDAP1L1"
"6143","GDAP2"
"6144","GDE1"
"6145","GDF1"
"6146","GDF10"
"6147","GDF11"
"6148","GDF15"
"6149","GDF2"
"6150","GDF3"
"6151","GDF5"
"6152","GDF6"
"6153","GDF7"
"6154","GDF9"
"6155","GDI1"
"6156","GDI2"
"6157","GDNF"
"6158","GDPD1"
"6159","GDPD2"
"6160","GDPD3"
"6161","GDPD4"
"6162","GDPD5"
"6163","GDPGP1"
"6164","GEM"
"6165","GEMIN2"
"6166","GEMIN4"
"6167","GEMIN5"
"6168","GEMIN6"
"6169","GEMIN7"
"6170","GEMIN8"
"6171","GEN1"
"6172","GET4"
"6173","GFAP"
"6174","GFER"
"6175","GFI1"
"6176","GFI1B"
"6177","GFM1"
"6178","GFM2"
"6179","GFOD1"
"6180","GFOD2"
"6181","GFPT1"
